IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
cmd_word_reg[52]	SLICE_X181Y17	SLICEL.AFF	FDRE
cmd_word_reg[53]	SLICE_X178Y19	SLICEM.AFF	FDRE
cmd_word_reg[54]	SLICE_X178Y19	SLICEM.BFF	FDRE
cmd_word_reg[55]	SLICE_X178Y19	SLICEM.CFF	FDRE
cmd_word_reg[56]	SLICE_X178Y19	SLICEM.DFF	FDRE
cmd_word_reg[57]	SLICE_X181Y17	SLICEL.BFF	FDRE
cmd_word_reg[58]	SLICE_X181Y17	SLICEL.CFF	FDRE
cmd_word_reg[59]	SLICE_X181Y17	SLICEL.DFF	FDRE
cmd_word_reg[5]	SLICE_X184Y22	SLICEM.DFF	FDRE
cmd_word_reg[60]	SLICE_X181Y18	SLICEL.AFF	FDRE
cmd_word_reg[61]	SLICE_X181Y18	SLICEL.BFF	FDRE
cmd_word_reg[62]	SLICE_X181Y18	SLICEL.CFF	FDRE
cmd_word_reg[63]	SLICE_X181Y18	SLICEL.DFF	FDRE
cmd_word_reg[6]	SLICE_X184Y22	SLICEM.B5FF	FDRE
cmd_word_reg[7]	SLICE_X184Y22	SLICEM.C5FF	FDRE
eth_addr_q_reg[10]	SLICE_X186Y20	SLICEM.AFF	FDRE
eth_addr_q_reg[11]	SLICE_X189Y20	SLICEL.AFF	FDRE
eth_addr_q_reg[12]	SLICE_X189Y20	SLICEL.BFF	FDRE
eth_addr_q_reg[13]	SLICE_X187Y20	SLICEL.AFF	FDRE
eth_addr_q_reg[14]	SLICE_X189Y20	SLICEL.CFF	FDRE
eth_addr_q_reg[15]	SLICE_X189Y22	SLICEL.AFF	FDRE
eth_addr_q_reg[16]	SLICE_X185Y18	SLICEL.AFF	FDRE
eth_addr_q_reg[3]	SLICE_X183Y22	SLICEL.AFF	FDRE
eth_addr_q_reg[4]	SLICE_X185Y19	SLICEL.AFF	FDRE
eth_addr_q_reg[5]	SLICE_X185Y19	SLICEL.BFF	FDRE
eth_addr_q_reg[6]	SLICE_X183Y19	SLICEL.AFF	FDRE
eth_addr_q_reg[7]	SLICE_X184Y18	SLICEM.AFF	FDRE
eth_addr_q_reg[8]	SLICE_X186Y19	SLICEM.AFF	FDRE
eth_addr_q_reg[9]	SLICE_X187Y20	SLICEL.BFF	FDRE
eth_be_q[3]_i_1	SLICE_X184Y18	SLICEM.B6LUT	LUT1
eth_be_q_reg[3]	SLICE_X184Y18	SLICEM.BFF	FDRE
eth_ce_reg	SLICE_X180Y17	SLICEM.A5FF	FDRE
eth_half_q_i_1	SLICE_X187Y21	SLICEL.B5LUT	LUT3
eth_half_q_i_2	SLICE_X185Y22	SLICEL.A5LUT	LUT5
eth_half_q_reg	SLICE_X184Y18	SLICEM.B5FF	FDRE
eth_mdc_OBUF_inst	IOB_X0Y85	IOB18.OUTBUF_DCIEN	OBUF
eth_resp_reg	SLICE_X182Y16	SLICEM.A5FF	FDRE
eth_rst_n_OBUF_inst	IOB_X0Y78	IOB18.OUTBUF_DCIEN	OBUF
eth_wdata_q_reg[0]	SLICE_X187Y22	SLICEL.AFF	FDRE
eth_wdata_q_reg[10]	SLICE_X189Y22	SLICEL.BFF	FDRE
eth_wdata_q_reg[11]	SLICE_X188Y22	SLICEM.AFF	FDRE
eth_wdata_q_reg[12]	SLICE_X188Y21	SLICEM.AFF	FDRE
eth_wdata_q_reg[13]	SLICE_X188Y22	SLICEM.BFF	FDRE
eth_wdata_q_reg[14]	SLICE_X188Y22	SLICEM.CFF	FDRE
eth_wdata_q_reg[15]	SLICE_X187Y20	SLICEL.CFF	FDRE
eth_wdata_q_reg[16]	SLICE_X183Y19	SLICEL.BFF	FDRE
eth_wdata_q_reg[17]	SLICE_X183Y19	SLICEL.CFF	FDRE
eth_wdata_q_reg[18]	SLICE_X183Y19	SLICEL.DFF	FDRE
eth_wdata_q_reg[19]	SLICE_X183Y19	SLICEL.A5FF	FDRE
eth_wdata_q_reg[1]	SLICE_X186Y20	SLICEM.BFF	FDRE
eth_wdata_q_reg[20]	SLICE_X179Y17	SLICEL.AFF	FDRE
eth_wdata_q_reg[21]	SLICE_X178Y18	SLICEM.AFF	FDRE
eth_wdata_q_reg[22]	SLICE_X178Y18	SLICEM.BFF	FDRE
eth_wdata_q_reg[23]	SLICE_X178Y18	SLICEM.CFF	FDRE
eth_wdata_q_reg[24]	SLICE_X178Y18	SLICEM.DFF	FDRE
eth_wdata_q_reg[25]	SLICE_X179Y17	SLICEL.BFF	FDRE
eth_wdata_q_reg[26]	SLICE_X179Y17	SLICEL.CFF	FDRE
eth_wdata_q_reg[27]	SLICE_X179Y17	SLICEL.DFF	FDRE
eth_wdata_q_reg[28]	SLICE_X179Y18	SLICEL.AFF	FDRE
eth_wdata_q_reg[29]	SLICE_X179Y18	SLICEL.BFF	FDRE
eth_wdata_q_reg[2]	SLICE_X186Y19	SLICEM.BFF	FDRE
eth_wdata_q_reg[30]	SLICE_X179Y18	SLICEL.CFF	FDRE
eth_wdata_q_reg[31]	SLICE_X179Y18	SLICEL.DFF	FDRE
eth_wdata_q_reg[3]	SLICE_X185Y18	SLICEL.BFF	FDRE
eth_wdata_q_reg[4]	SLICE_X186Y20	SLICEM.CFF	FDRE
eth_wdata_q_reg[5]	SLICE_X186Y20	SLICEM.DFF	FDRE
eth_wdata_q_reg[6]	SLICE_X187Y20	SLICEL.DFF	FDRE
eth_wdata_q_reg[7]	SLICE_X188Y21	SLICEM.BFF	FDRE
eth_wdata_q_reg[8]	SLICE_X187Y20	SLICEL.A5FF	FDRE
eth_wdata_q_reg[9]	SLICE_X188Y22	SLICEM.DFF	FDRE
eth_we_q_i_1	SLICE_X185Y22	SLICEL.A6LUT	LUT3
eth_we_q_i_2	SLICE_X185Y22	SLICEL.B6LUT	LUT6
eth_we_q_reg	SLICE_X184Y18	SLICEM.CFF	FDRE
gp_q[7]_i_1	SLICE_X185Y22	SLICEL.D6LUT	LUT5
gp_q_reg[0]	SLICE_X186Y24	SLICEM.BFF	FDRE
gp_q_reg[1]	SLICE_X186Y24	SLICEM.CFF	FDRE
gp_q_reg[2]	SLICE_X186Y21	SLICEM.AFF	FDRE
gp_q_reg[3]	SLICE_X186Y21	SLICEM.BFF	FDRE
gp_q_reg[4]	SLICE_X186Y21	SLICEM.CFF	FDRE
gp_q_reg[5]	SLICE_X186Y21	SLICEM.DFF	FDRE
gp_q_reg[6]	SLICE_X186Y21	SLICEM.B5FF	FDRE
gp_q_reg[7]	SLICE_X186Y21	SLICEM.C5FF	FDRE
hb[0]_i_2	SLICE_X180Y16	SLICEM.A6LUT	LUT1
hb_reg[0]	SLICE_X180Y16	SLICEM.AFF	FDRE
hb_reg[0]_i_1	SLICE_X180Y16	SLICEM.CARRY4	CARRY4
hb_reg[10]	SLICE_X180Y18	SLICEM.CFF	FDRE
hb_reg[11]	SLICE_X180Y18	SLICEM.DFF	FDRE
hb_reg[12]	SLICE_X180Y19	SLICEM.AFF	FDRE
hb_reg[12]_i_1	SLICE_X180Y19	SLICEM.CARRY4	CARRY4
hb_reg[13]	SLICE_X180Y19	SLICEM.BFF	FDRE
hb_reg[14]	SLICE_X180Y19	SLICEM.CFF	FDRE
hb_reg[15]	SLICE_X180Y19	SLICEM.DFF	FDRE
hb_reg[16]	SLICE_X180Y20	SLICEM.AFF	FDRE
hb_reg[16]_i_1	SLICE_X180Y20	SLICEM.CARRY4	CARRY4
hb_reg[17]	SLICE_X180Y20	SLICEM.BFF	FDRE
hb_reg[18]	SLICE_X180Y20	SLICEM.CFF	FDRE
hb_reg[19]	SLICE_X180Y20	SLICEM.DFF	FDRE
hb_reg[1]	SLICE_X180Y16	SLICEM.BFF	FDRE
hb_reg[20]	SLICE_X180Y21	SLICEM.AFF	FDRE
hb_reg[20]_i_1	SLICE_X180Y21	SLICEM.CARRY4	CARRY4
hb_reg[21]	SLICE_X180Y21	SLICEM.BFF	FDRE
