net	pips	fanout
eth/bm_rdata[21]_i_3_n_0	4	1
eth/bm_rdata[22]_i_3_n_0	5	1
eth/bm_rdata[23]_i_3_n_0	6	1
eth/bm_rdata[23]_i_6_n_0	172	64
eth/bm_rdata[23]_i_9_n_0	74	24
eth/bm_rdata[2]_i_5_n_0	6	1
eth/bm_rdata[31]_i_10_n_0	10	4
eth/bm_rdata[31]_i_11_n_0	67	23
eth/bm_rdata[31]_i_13_n_0	92	32
eth/bm_rdata[31]_i_14_n_0	92	32
eth/bm_rdata[31]_i_15_n_0	83	32
eth/bm_rdata[31]_i_20_n_0	9	6
eth/bm_rdata[31]_i_4_n_0	162	64
eth/bm_rdata[3]_i_5_n_0	5	1
eth/bm_rdata[3]_i_9_n_0	11	4
eth/bm_rdata[4]_i_3_n_0	5	1
eth/bm_rdata[5]_i_3_n_0	5	1
eth/bm_rdata[6]_i_3_n_0	6	1
eth/bm_rdata[7]_i_3_n_0	5	1
eth/bm_rdata[8]_i_3_n_0	4	1
eth/bm_rdata[9]_i_3_n_0	4	1
eth/byte_sync_i_10_n_0	3	1
eth/byte_sync_i_2_n_0	3	1
eth/byte_sync_i_3_n_0	6	1
eth/byte_sync_i_5_n_0	3	1
eth/byte_sync_i_6_n_0	4	1
eth/byte_sync_i_7_n_0	3	1
eth/byte_sync_i_8_n_0	7	2
eth/byte_sync_i_9_n_0	3	1
eth/byte_sync_reg_n_0	12	5
eth/ce_d_dly	3	2
eth/ce_d_dly_reg_0	72	25
eth/clka	1032	994
eth/cooked_reg_n_0	4	1
eth/core_lsu_addr_dly[10]	3	2
eth/core_lsu_addr_dly[11]	3	2
eth/core_lsu_addr_dly[12]	8	3
eth/core_lsu_addr_dly[13]	3	1
eth/core_lsu_addr_dly[14]	7	1
eth/core_lsu_addr_dly[15]	4	1
eth/core_lsu_addr_dly[16]	3	2
eth/core_lsu_addr_dly[3]	33	21
eth/core_lsu_addr_dly[4]	30	21
eth/core_lsu_addr_dly[5]	34	21
