vivado_delay	ot_delay	class	endpoint
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[7]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[8]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[9]/S
5.394	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[17]/S
5.394	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[18]/S
5.394	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[19]/S
5.394	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[1]/S
5.429	2.761	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[24]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[25]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[26]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[27]/S
5.350	3.521	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[14].RAMB16_S9_S36_inst/DIADI[0]
5.360	5.397	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[12]
5.392	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[0]/S
5.392	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[10]/S
5.392	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[11]/S
5.392	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[12]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[13]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[14]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[15]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[16]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[17]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[18]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[19]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[1]/S
5.336	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d4_reg/R
5.181	5.324	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.331	2.990	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[13].RAMB16_S9_S36_inst/DIADI[2]
5.639	5.975	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_cnt_reg[1]/D
5.154	2.626	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.055	4.102	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[8].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[6]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[7]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[8]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[9]/R
5.563	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.gmii_tx_en_reg_reg/R
5.563	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.gmii_tx_er_reg_reg/R
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[31]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[3]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[4]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[5]/S
5.936	5.311	FF_D	eth.sgmii_soc1.i_pcs_pma.inst.pcs_pma_block_i/transceiver_inst/rx_elastic_buffer_inst/insert_idle_reg/D
5.571	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.FSM_sequential_state_reg_reg[0]/R
5.571	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.FSM_sequential_state_reg_reg[1]/R
5.571	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.FSM_sequential_state_reg_reg[2]/R
5.931	5.311	FF_D	eth.sgmii_soc1.i_pcs_pma.inst.pcs_pma_block_i/transceiver_inst/rx_elastic_buffer_inst/rd_enable_reg/D
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[13]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[14]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[15]/R
5.562	5.808	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.frame_ptr_reg_reg[1]/R
5.265	3.045	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[11]
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[6]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[7]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[8]/S
5.566	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[9]/S
5.567	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[13]/S
5.567	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[14]/S
5.567	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[15]/S
5.567	5.808	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.fcs_reg_reg[16]/S
